country,year,population_adult
Ireland,2010,3365856
Ireland,2011,3373580
Ireland,2012,3378500
Ireland,2013,3388124
Ireland,2014,3406677
Ireland,2015,3436588
Ireland,2016,3477904
Ireland,2017,3539013
Ireland,2018,3589945
Ireland,2019,3666045
Ireland,2020,3733156
Ireland,2021,3791663
Ireland,2022,3871998
Ireland,2023,3972116
Spain,1960,0
Spain,1961,0
Spain,1962,0
Spain,1963,0
Spain,1964,0
Spain,1965,0
Spain,1966,0
Spain,1967,0
Spain,1968,0
Spain,1969,0
Spain,1970,0
Spain,1971,22195607
Spain,1972,22465567
Spain,1973,22741295
Spain,1974,22982220
Spain,1975,23245944
Spain,1976,23503144
Spain,1977,23802406
Spain,1978,24105979
Spain,1979,24410328
Spain,1980,24731430
Spain,1981,25307154
Spain,1982,25644348
Spain,1983,26002511
Spain,1984,26364915
Spain,1985,26711609
Spain,1986,27043501
Spain,1987,27375024
Spain,1988,27692835
Spain,1989,28001967
Spain,1990,28312295
Spain,1991,28619354
Spain,1992,29028821
Spain,1993,29463272
Spain,1994,29903973
Spain,1995,30356463
Spain,1996,30804195
Spain,1997,31230468
Spain,1998,31652734
Spain,1999,32034603
Spain,2000,32387105
Spain,2001,32722038
Spain,2002,33160500
Spain,2003,33889890
Spain,2004,34528136
Spain,2005,35199290
Spain,2006,35804614
Spain,2007,36436406
Spain,2008,37151468
Spain,2009,37577971
Spain,2010,37753141
Spain,2011,37882779
Spain,2012,37999700
Spain,2013,37907984
Spain,2014,37726873
Spain,2015,37665248
Spain,2016,37661151
Spain,2017,37740153
Spain,2018,37878850
Spain,2019,38160238
Spain,2020,38567155
Spain,2021,38731716
Spain,2022,38891579
Spain,2023,39481206
France,1960,0
France,1961,0
France,1962,0
France,1963,0
France,1964,0
France,1965,0
France,1966,0
France,1967,0
France,1968,0
France,1969,0
France,1970,0
France,1971,0
France,1972,0
France,1973,0
France,1974,0
France,1975,0
France,1976,0
France,1977,0
France,1978,0
France,1979,0
France,1980,0
France,1981,0
France,1982,0
France,1983,0
France,1984,0
France,1985,0
France,1986,0
France,1987,0
France,1988,0
France,1989,0
France,1990,0
France,1991,43053673
France,1992,43467708
France,1993,43865711
France,1994,44175457
France,1995,44425759
France,1996,44635004
France,1997,44859171
France,1998,45085782
France,1999,45336300
France,2000,45732312
France,2001,46138439
France,2002,46545001
France,2003,46909686
France,2004,47282885
France,2005,47720013
France,2006,48152774
France,2007,48519804
France,2008,48869988
France,2009,49178076
France,2010,49438976
France,2011,49728790
France,2012,49998571
France,2013,50234326
France,2014,50607766
France,2015,50851168
France,2016,51046774
